Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2009,21,117,148000,75322,0.0488,1.1378,0.8,PT01,2,5,1,36,5
2009,21,15,197500,141050,0.0475,2.1307,0.72,PT01,2,5,1,59,5
2009,21,117,219000,106017,0.0475,1.6015,0.7,PT01,2,5,2,27,5
2009,21,37,244000,125539,0.05,1.8964,0.8,PT01,2,5,1,32,5
2009,21,15,417000,360272,0.045,5.4422,0.35,PT01,2,5,1,46,5
2009,21,117,417000,322332,0.05,4.8691,0.76,PT01,2,5,3,44,5
2009,21,15,392000,147312,0.05,2.2253,0.8,PT02,2,5,1,38,5
2009,12,71,162291,80000,0.05,1.318,0.98,PT01,1,5,2,37,5
2009,21,49,242400,76992,0.0538,1.2125,0.8,PT01,2,5,1,71,5
2009,21,151,136972,34656,0.0538,0.8193,0.99,PT01,1,5,2,30,4
2009,21,67,180667,91032,0.0525,1.4005,0.99,PT01,2,5,1,36,3
2009,21,117,81557,36540,0.05,0.552,1.0,PT01,1,5,1,25,1
2009,21,211,110000,80662,0.05,1.3579,0.59,PT01,2,5,1,50,4
2009,12,109,80718,21426,0.0538,0.3291,0.9,PT12,2,5,1,81,2
2009,21,15,232250,118877,0.0475,1.7957,0.78,PT01,2,5,1,40,5
2009,21,37,99000,83364,0.0513,1.2593,0.9,PT01,2,5,2,27,5
2009,21,15,97600,35748,0.0575,0.54,0.8,PT01,2,5,1,28,4
2009,37,51,93279,18180,0.0525,0.3523,0.99,PT01,1,7,3,41,2
2009,37,183,150300,58008,0.0513,0.7745,0.9,PT01,1,5,1,22,4
2009,54,55,118000,34782,0.0625,0.8463,0.9593,PT01,1,5,2,24,2
2009,21,73,96000,34536,0.0525,0.8423,0.6,PT01,2,5,1,58,5
2009,12,115,196377,77112,0.0525,1.2378,0.99,PT02,1,5,1,38,2
2009,12,15,103981,35767,0.0538,0.6575,0.99,PT01,1,5,1,24,2
2009,12,27,115125,64332,0.065,1.4169999999999998,1.0,PT01,1,5,1,34,2
2009,21,15,280800,107616,0.0575,1.6256,0.8,PT01,2,5,1,33,5
2009,21,117,413561,203400,0.05,3.0725,0.71,PT01,2,5,1,33,5
2009,21,15,180505,105312,0.0513,1.5908,0.79,PT01,2,5,1,60,4
2009,21,101,139000,44939,0.0513,0.7515,0.93,PT01,2,5,1,33,4
2009,21,37,140000,110000,0.0513,1.6616,0.8,PT01,2,5,1,54,5
2009,12,81,219780,71760,0.0513,1.1518,0.92,PT02,2,5,1,38,4
2009,54,55,90000,36000,0.0638,0.8759,1.0,PT01,1,5,2,27,2
2009,54,39,43650,41508,0.0575,0.8558,0.8,PT01,2,5,2,52,5
